id;zone_id;name;discription;tenant_id
1;94023;North Dakota incubate deposit;haptic parsing;revolutionize Branding
2;90535;black;yellow;Books Generic
3;68300;Handcrafted Plastic Shirt quantifying;wireless;hybrid
4;11816;Rupiah Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte
5;99050;infrastructures incentivize quantify;JSON Texas;bandwidth
6;75087;compress Fantastic Global;Buckinghamshire monetize;Direct
7;38920;Industrial;bypassing granular Usability;Applications Missouri deposit
8;44844;methodical;Pakistan;parse
9;79157;back-end Unbranded Cambridgeshire;Designer;mindshare
10;88770;cross-media Frozen;Syrian Pound;Auto Loan Account Refined Practical
