id;usage_id;product_id;branch_id;zone_id;shelf_id;usage;datetime
1;66473;78650;32728;16243;85027;35461;2020-02-25T21:10:54
2;8615;81393;5234;82905;4198;35997;2020-02-25T15:36:43
3;75291;13485;88743;31525;83501;71062;2020-02-25T22:41:33
4;10482;24562;66153;75968;91171;80119;2020-02-25T11:46:32
5;25655;11265;2118;75744;44979;25039;2020-02-26T00:06:22
6;66683;27557;72661;31203;89596;47612;2020-02-25T14:49:20
7;68341;1877;56422;2909;31445;3020;2020-02-25T12:31:28
8;71462;68084;81132;92767;57926;23686;2020-02-25T16:50:29
9;48293;4925;2332;91180;91932;16521;2020-02-25T06:33:01
10;21077;4309;4967;95978;51634;27830;2020-02-26T01:34:41
