id;name;discription;tenant_id
1;connecting;interactive green;Cambridgeshire South Carolina National
2;Credit Card Account Chair solutions;redefine Clothing;Sleek Steel Shoes communities microchip
3;silver;Cotton dynamic;open architecture generating
4;help-desk;neural Thailand;vortals upward-trending orange
5;Expanded mobile;data-warehouse;capability Cotton North Dakota
6;Armenian Dram CFP Franc;Sleek IB standardization;Checking Account Executive
7;capacitor;Fantastic index circuit;Mouse networks
8;Paradigm;Internal Central;Clothing Finland
9;Automotive Chicken calculate;reciprocal scale fuchsia;Networked Street Ergonomic
10;application;monitor;Berkshire Liaison
